Spa_Francorchamps_2022 / 2026-01-02 20:30
Position,Driver,SteamID,Vehicle,FastestLap,S1,S2,S3,TotalTime,Gap,Laps,State,Cuts,Impacts,Points
1,Solamen,76561199237047918,-1026941607,02:17:590,00:36:949,01:02:271,00:39:074,23:41:861,00:00:000,10,Finished,0,2,25
2,Andres Garrido  (IA),0,Chevrolet Corvette Z06 GT3.R,02:20:518,00:37:345,01:03:154,00:40:213,23:58:684,00:16:823,10,Finished,0,0,18
3,Lukas Hein  (IA),0,Porsche 992 GT3 R,02:20:390,00:37:644,01:03:384,00:40:564,24:02:325,00:20:464,10,Finished,0,2,15
4,Rik Berg  (IA),0,Chevrolet Corvette Z06 GT3.R,02:20:178,00:37:144,01:03:844,00:40:552,24:02:513,00:20:652,10,Finished,0,2,12
5,Brandon Simmons  (IA),0,1311912387,02:20:338,00:36:864,01:03:725,00:40:643,24:02:805,00:20:944,10,Finished,0,1,10
6,Mathew Ball  (IA),0,Chevrolet Corvette Z06 GT3.R,02:21:162,00:37:637,01:03:484,00:40:582,24:13:344,00:31:483,10,Finished,0,4,8
7,Jack Walace  (IA),0,1311912387,02:21:156,00:37:316,01:03:743,00:40:623,24:13:684,00:31:823,10,Finished,0,1,6
8,Zacharie Robinson  (IA),0,Aston Martin Vantage GT3 Evo,02:21:024,00:37:043,01:03:868,00:40:678,24:13:884,00:32:023,10,Finished,0,2,4
9,Michael Green  (IA),0,Mercedes-AMG GT3 Evo,02:21:178,00:37:024,01:03:746,00:40:916,24:14:424,00:32:563,10,Finished,0,0,2
10,Andy Carr  (IA),0,Audi R8 LMS GT3 evo II,02:22:055,00:37:779,01:03:925,00:40:742,24:18:145,00:36:284,10,Finished,0,0,1
11,Clint Eastwood  (IA),0,Chevrolet Corvette Z06 GT3.R,02:20:894,00:37:500,01:04:325,00:40:828,24:21:868,00:40:007,10,Finished,0,0,0
12,Andrey Orav  (IA),0,-1026941607,02:21:495,00:37:332,01:04:345,00:40:905,24:22:125,00:40:264,10,Finished,0,0,0
13,Matteo Donati  (IA),0,Aston Martin Vantage GT3 Evo,02:23:001,00:37:775,01:04:273,00:41:042,24:25:606,00:43:745,10,Finished,0,0,0
14,Alison Martin  (IA),0,Porsche 992 GT3 R,02:23:153,00:37:992,01:05:181,00:41:216,24:29:225,00:47:364,10,Finished,0,0,0
15,Jack Mills  (IA),0,-1026941607,02:23:449,00:37:449,01:05:306,00:41:235,24:32:625,00:50:764,10,Finished,0,0,0
16,Peter Holmes  (IA),0,-1026941607,02:22:963,00:38:046,01:05:424,00:41:432,24:33:005,00:51:144,10,Finished,0,0,0
17,Jared Confetti  (IA),0,Porsche 992 GT3 R,02:21:226,00:37:800,01:03:961,00:40:559,24:50:703,01:08:842,10,Finished,0,1,0
