GT3 Season 2025
Position,Driver,SteamID,Races,Points,BestPos,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17
1,Solamen,76561199237047918,1,25,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Andres Garrido  (IA),0,1,18,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Lukas Hein  (IA),0,1,15,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Rik Berg  (IA),0,1,12,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Brandon Simmons  (IA),0,1,10,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,Mathew Ball  (IA),0,1,8,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,Jack Walace  (IA),0,1,6,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8,Zacharie Robinson  (IA),0,1,4,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9,Michael Green  (IA),0,1,2,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10,Andy Carr  (IA),0,1,1,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11,Clint Eastwood  (IA),0,1,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
12,Andrey Orav  (IA),0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13,Matteo Donati  (IA),0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14,Alison Martin  (IA),0,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
15,Jack Mills  (IA),0,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16,Peter Holmes  (IA),0,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
17,Jared Confetti  (IA),0,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
